,companyFullName,companySize,district,financeStage,positionAdvantage,position_detail,position_name,salary,workYear
20,武汉佰钧成技术有限责任公司,2000人以上,滨江区,不需要融资,"五险一金,补充医疗,带薪年假,节日福利","
职位描述：

1、三年以上工作经验，其中两年以上web开发经验;
2、熟练使用CSS,HTML以及javascript、Ajax、Jquery任何一种或几种技术;
3、熟练使用Spring，SpringMvc，Hibernate，Struts，Mybatis等开发框架;
4、熟练使用Tomcat，jetty等应用服务器;
5、熟练使用Oracle、Mysql、Mongodb、redis等两种以上数据库;
6、有springboot，springcloud等分布式微服务开发经验优先；
7、有良好的职业操守，沟通能力、责任心和团队协作强。

",JAVA开发工程师,14k-25k,3-5年
21,杭州优行科技有限公司,500-2000人,滨江区,未融资,"购车优惠,定期调薪,发展空间,福利丰厚","
职位描述：

岗位职责：
参与曹操专车中间件（服务框架、消息中间件、数据中间件等）的设计，代码开发，系统稳定性开发，性能优化等工作 主要方向：监控告警、网关、日志处理、消息中间件、公用组件服务等

岗位要求：
1. 3年以上相关工作经验，Java基础扎实，熟悉多线程，分布式系统，数据存储等相关技术 2. 熟悉常用的中间件技术（如消息系统、RPC框架、缓存系统、存储层中间件等） 3. 掌握多线程及高性能的设计与编码及性能调优，有高并发应用开发经验优先4. 熟悉Linux操作系统、能够熟练编写shell脚本5. 有监控、网关、日志处理等系统经验者优先6. 有大数据处理框架使用经验者优先，如storm、hadoop等7. 对用过的开源框架能了解到它的原理和机制，有开源项目贡献者优先8. 有较强的沟通理解能力，有良好的团队协作精神、环境适应能力和执行力，在较大压力下保持工作激情；

",Java工程师-中间件,18k-35k,3-5年
22,杭州牛邦科技有限公司,15-50人,,天使轮,团队靠谱，创业氛围，五险一金+双休,,Java开发工程师,10k-20k,3-5年
23,浙江科进英华信息技术有限公司,15-50人,萧山区,不需要融资,"清华技术,发展前景","
职位描述：

岗位职责：
1、负责公司软件产品的设计﹑开发和维护工作；
2、能根据需求独立进行业务分析，并完成相应技术文档。
3、独立完成所分配的软件开发任务，并积极与项目组其他成员紧密合作。
4、熟悉和引入先进的技术及工具改善团队开发效率和软件交付质量。
任职资格：
1、大专及以上学历，计算机及相关专业毕业，3年以上开发经验；
2、有扎实的Java基础，对技术有热情和追求；
3、熟悉主流web开发框架和前端技术，熟练掌握SQL的各种查询；
3、熟练使用Linux及配置web服务器环境等；
4、有良好的业务理解力和良好的沟通能力。
5、有GIS系统的开发经验优先。

",Java开发工程师,10k-20k,3-5年
24,杭州财米科技有限公司,500-2000人,西湖区,D轮及以上,"弹性工作,公司平台,晋升空间","
职位描述：

岗位职责
负责业务系统核心模块的设计和开发实现
指导初级程序员工作，并负责Code Review
任职条件
1、三年以上互联网行业Java及Web应用开发相关经验，扎实的基础知识，熟悉J2EE设计模式；
2、深入了解Spring,ibatis,struts2等框架（框架提供的特性及其实现原理）；
3、熟悉分布式. 多线程及高性能的设计与编码及性能调优；
4、熟悉Internet基本协议（如TCP/IP. HTTP等）内容及相关应用；
5、至少熟练掌握oracle、mysql当中的一种关系型数据库，能进行sql调优；
6、有很强的分析问题和解决问题的能力，有强烈的责任心；
6、大规模高并发访问的Web应用。

",Java高级开发工程师（MJ000753）,25k-35k,3-5年
25,浙江力太科技有限公司,150-500人,滨江区,C轮,"弹性工作,双休,五险一金,免费班车","
职位描述：

岗位职责：
1、参与项目系统设计，完成软件项目的程序开发工作；
2、负责产品需求分析、设计和文档编写；
3、根据产品需求和设计进行软件开发；
4、完成直接上级交办的其他工作任务。
5、有ERP，MES、工业物联网经验优先
?
岗位要求：
1.3年以上Java项目开发经验；
2.熟练使用Javascript, Jquery, springboot;
3.熟悉主流数据，熟悉掌握Python语言；
4.学习能力强，沟通能力强，有愿意成为技术达人的强烈欲望

",Java开发工程师,10k-20k,3-5年
26,杭州洋驼网络科技有限公司,500-2000人,西湖区,C轮,阿里系创业团队，薪资待遇优厚，老板Nice~,"
职位描述：


1. 根据产品需求完成需求分析、设计及实现
2. 制定开发计划完成日常的研发工作
3. 协助解决线上各种问题
4. 代码review及系统的梳理重构。
 岗位要求：
 1. 3年以上Java开发经验；Java基础扎实，熟悉互联网和web应用相关技术开发；
2. 熟悉oop，设计模式，熟悉主流的开发框架；
3. 熟悉MySql等数据库技术，熟悉存储引擎数据结构实现，对sql优化有一定的经验
4. 具有高度的抽象设计能力，思路清晰，善于思考，能独立分析和解决问题； 
5. 对分布式架构有比较深刻的认识，熟悉业界常用的分布式开源框架。
6. 有强烈的责任心和团队精神，善于沟通和合作；
7. 有大型系统的设计、开发经验优先；
8. 在某一领域有较深入的研究优先。


",Java工程师,10k-20k,3-5年
27,浙江企朋网络技术股份有限公司,150-500人,西湖区,不需要融资,"上班不打卡,定制中晚餐,全员mac,全员海外游","
职位描述：

职责1.?负责eURP平台的搭建和开发（eUICC?Remote?Provisioning）2.?负责和eSIM芯片工程师联调不同平台的OTA操作3.?负责对eURP进行接口封装，通过内部服务化调用，与原有BOSS平台打通4.?负责eURP平台需求迭代、问题排查、稳定性维护要求1.?扎实的Java基础2.?熟悉?spring/springmvc/springboot/mybatis?等开发框架3.?熟悉eUICC规范、了解eSIM生态架构、Card?OS的工作原理4.?3年以上工作经验，其中至少1年以上euicc?remote?provisioning相关经验

技术栈：1）开发和运行环境：开发环境：MacOS运行环境：Redhat/CentOS编程语言：Java/Python/Node.js工具：标配15寸Mac/Git/IDEA2）主要中间件和组件：Web服务：Tengine/OpenResty&Tomcat缓存：Redis/Memcache队列：RocketMQ数据存储：Mysql/MongoDB/Hadoop/Cassandra/ElasticSearch大数据计算：JStorm/Hive/MapReduce/MaxCompute分布式锁：Zookeeper服务化：SpringCloud框架：SpringBoot/Spring/Struts/Ibatis容器：Docker成长环境：1.? 在高速增长的业务中，保证快速迭代、提供高并发和高可用服务的挑战2.? 与内外部行业资深专家培训、交流、切磋的机会，参与行业技术大会的学习和分享3.? 透明开放的工程师文化，自由checkout你感兴趣的代码，只要你有能力，就可以一起参与核心系统优化改进4.? 一年一度的国外旅游，一起看世界、开拓视野（已经去过泰国、美国、澳洲、日本、印尼，参观过硅谷的Google、Facebook、Apple等公司）5.? 偏平化架构，高效的协作，上不封顶的职业成长空间！

",资深Java开发工程师（eUICC方向）,15k-25k,3-5年
28,杭州腾展科技股份有限公司,50-150人,西湖区,上市公司,"全球化产品,发展空间大,股权激励,精英团队","
职位描述：

岗位职责：
1、对公司服务器现有的技术框架进行持续优化；
2、负责公司服务化框架选型和框架搭建，持续推进服务化进程；
3、对服务器后台技术进行安全性，可靠性，冗余性和负载性能等方面的指导，完成核心模块开发；
4、完成业务项目的任务分析设计，完成详细设计和编码，确保项目的进度和质量；
5、发挥自身的特长和优势，为公司创造更高的价值，并且能够与公司共同成长，实现自己的职业诉求。
?
岗位要求:
1、本科以上学历，计算机相关专业全日制统招本科及以上学历；
2、5年以上互联网产品从业经历，2年以上服务化和微服务相关的架构设计工作经验；
3、精通设计模式和设计理论；对后台的安全性，可靠性，性能设计有深入理解和实践；
4、对服务器安全技术和运维技术有深入了解；
5、学习能力强，抗压能力强，需要并行支持多个项目；
6、精通java及数据结构和算法、流行缓存产品，熟练使用Linux；
7、具备优秀的文档能力，清晰明了地表达架构意图，能够熟练编写各类技术文档；
8、熟练使用MySQL数据库；熟悉tcp/ip/http等通信协议，熟悉多线程及大规模并发服务器开发。

",资深Java工程师,25k-35k,5-10年
29,杭州高达软件系统股份有限公司,150-500人,余杭区,上市公司,"五险一金,双休,补贴","
职位描述：

岗位一：初级软件工程师
岗位职责：
1、负责对公司相应产品的日常开发工作；
2、处理公司产品及项目中的bug。

任职要求：
1、熟悉JAVA、J2EE体系结构，掌握Spring、SpringMVC、Struts2、Hibernate/Mybatis等主流开发框架，MVC设计模式；
2、掌握HTML、javascript、css、ajax、jquery等web开发技术，熟悉HTTP协议；
3、熟练运用Sql语言完成数据库操作，至少熟悉一种主流数据库如MySQL、SQLServer 、Oracle等。
?
?
岗位二：中级软件工程师
岗位职责：
1、参与需求分析、评审、设计与开发；
2、负责对公司相应产品的日常开发工作；
3、负责公司产品及项目中功能模块的实现。

任职要求：
1、 精通JAVA、J2EE体系结构，熟练掌握Spring、SpringMVC、Struts2、Hibernate/Mybatis等主流开发框架，MVC设计模式，了解RESTful架构风格；
2、 熟练掌握HTML、javascript、css、ajax、jquery等web开发技术，熟悉HTTP协议；
3、 有较好的数据库设计能力，熟练运用Sql语言完成数据库操作，至少熟悉一种主流数据库如MySQL、SQLServer 、Oracle等。精通Mysql尤佳；
4、 熟悉netty，mina等异步框架开发经验者优先
5、 具有良好的学习及沟通能力、抗压强、富有团队精神。
?
?
岗位三：高级软件工程师
岗位职责：
1、带领团队负责公司产品的设计和研发
2、解决公司产品及项目中的关键问题和技术难题；
3、负责团队内部员工的绩效考评和技能培训。

任职要求：
1、精通JAVA、J2EE体系结构，熟练掌握Spring、SpringMVC、Struts2、Hibernate/Mybatis等主流开发框架，熟悉编程规范；
2、精通HTML、javascript、css、ajax、jquery等web开发技术，熟悉H5尤佳；
3、精通多线程运作机制、具备优秀的识别和设计通用框架及模块的能力；
4、较强的数据库设计能力，至少精通一种主流数据库如MySQL、SQLServer 、Oracle等。对大规模数据存储与挖掘等有较强的驾驭能力；
5，掌握分布式系统的设计和应用，熟悉分布式、缓存、消息等机制，能对分布式常用技术进行合理应用并解决问题。精通netty，mina等异步框架开发经验者优先；
6、熟悉ESB、EDI、云计算等相关技术优先；
7、具备良好的沟通能力和团队精神，能够有意识的培养和辅导团队中的其他同事。

",Java开发工程师,8k-15k,不限
